rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0121.jpg,48.4,0.6296,0.7672,0.5,0.48,16,5,False,True
2,frame_0188.jpg,75.2,0.6254,0.8748,0.6,0.04,15,6,False,True
3,frame_0325.jpg,130.0,0.6217,0.6273,1.0,0.04,15,10,False,True
4,frame_0388.jpg,155.2,0.6134,0.8508,0.6,0.04,16,6,False,True
5,frame_0384.jpg,153.6,0.6089,0.8099,0.6,0.12,21,6,False,False
6,frame_0393.jpg,157.2,0.5927,0.7495,0.7,0.04,17,7,False,True
7,frame_0316.jpg,126.4,0.5897,0.7113,0.7,0.12,14,7,False,True
8,frame_0115.jpg,46.0,0.5886,0.7492,0.5,0.32,14,5,False,True
9,frame_0210.jpg,84.0,0.5855,0.659,0.4,0.68,8,4,False,True
10,frame_0274.jpg,109.6,0.5776,0.7312,0.6,0.16,19,6,False,True
11,frame_0327.jpg,130.8,0.576,0.776,0.6,0.04,17,6,False,False
12,frame_0383.jpg,153.2,0.5714,0.7348,0.6,0.12,21,6,False,True
13,frame_0103.jpg,41.2,0.5682,0.7123,0.6,0.16,11,6,False,True
14,frame_0390.jpg,156.0,0.5608,0.7296,0.6,0.08,21,6,False,False
15,frame_0273.jpg,109.2,0.5594,0.6508,0.7,0.12,22,7,False,False
16,frame_0271.jpg,108.4,0.5562,0.6164,0.8,0.04,23,8,False,False
17,frame_0021.jpg,8.4,0.5532,0.7824,0.3,0.36,12,3,False,True
18,frame_0170.jpg,68.0,0.5529,0.7338,0.3,0.48,14,3,False,False
19,frame_0120.jpg,48.0,0.5512,0.5943,0.5,0.52,15,5,False,False
20,frame_0174.jpg,69.6,0.5438,0.7196,0.4,0.32,13,4,False,False
21,frame_0167.jpg,66.8,0.542,0.604,0.4,0.6,18,4,False,False
22,frame_0177.jpg,70.8,0.5382,0.6964,0.5,0.2,15,5,False,False
23,frame_0299.jpg,119.6,0.532,0.636,0.5,0.32,17,5,False,False
24,frame_0391.jpg,156.4,0.5316,0.6273,0.7,0.04,15,7,False,False
25,frame_0275.jpg,110.0,0.5301,0.6201,0.6,0.2,19,6,False,False
26,frame_0082.jpg,32.8,0.5292,0.6024,0.6,0.24,17,6,False,False
27,frame_0205.jpg,82.0,0.5288,0.5895,0.3,0.72,9,3,False,False
28,frame_0333.jpg,133.2,0.5286,0.7851,0.4,0.08,18,4,False,False
29,frame_0397.jpg,158.8,0.5272,0.7345,0.4,0.2,14,4,False,False
30,frame_0268.jpg,107.2,0.5257,0.7193,0.5,0.08,16,5,False,False
31,frame_0269.jpg,107.6,0.525,0.734,0.5,0.04,15,5,False,False
32,frame_0379.jpg,151.6,0.5241,0.8521,0.3,0.04,18,3,False,False
33,frame_0223.jpg,89.2,0.5232,0.7424,0.4,0.16,18,4,False,False
34,frame_0111.jpg,44.4,0.5231,0.6822,0.5,0.16,14,5,False,False
35,frame_0104.jpg,41.6,0.5216,0.6952,0.5,0.12,15,5,False,False
36,frame_0116.jpg,46.4,0.5213,0.7186,0.3,0.36,20,3,False,False
37,frame_0324.jpg,129.6,0.521,0.59,0.7,0.08,16,7,False,False
38,frame_0226.jpg,90.4,0.5187,0.7814,0.4,0.04,16,4,False,False
39,frame_0106.jpg,42.4,0.518,0.78,0.4,0.04,16,4,False,False
40,frame_0394.jpg,157.6,0.5132,0.8145,0.3,0.08,15,3,False,False
41,frame_0322.jpg,128.8,0.513,0.6179,0.6,0.12,13,6,False,False
42,frame_0083.jpg,33.2,0.5106,0.6092,0.5,0.28,12,5,False,False
43,frame_0017.jpg,6.8,0.5105,0.649,0.3,0.48,12,3,False,False
44,frame_0228.jpg,91.2,0.5098,0.6436,0.6,0.04,14,6,False,False
45,frame_0233.jpg,93.2,0.5085,0.6209,0.5,0.24,21,5,False,False
46,frame_0232.jpg,92.8,0.505,0.7501,0.3,0.2,17,3,False,False
47,frame_0306.jpg,122.4,0.5026,0.8091,0.3,0.04,19,3,False,False
48,frame_0218.jpg,87.2,0.5009,0.6177,0.4,0.36,13,4,False,False
49,frame_0003.jpg,1.2,0.4998,0.7275,0.4,0.08,10,4,False,False
50,frame_0229.jpg,91.6,0.498,0.664,0.5,0.08,16,5,False,False
51,frame_0267.jpg,106.8,0.498,0.648,0.5,0.12,14,5,False,False
52,frame_0031.jpg,12.4,0.4936,0.6112,0.6,0.04,12,6,False,False
53,frame_0100.jpg,40.0,0.4925,0.6091,0.6,0.04,14,6,False,False
54,frame_0272.jpg,108.8,0.4917,0.5314,0.7,0.08,22,7,False,False
55,frame_0101.jpg,40.4,0.4912,0.6504,0.5,0.08,14,5,False,False
56,frame_0079.jpg,31.6,0.4906,0.6932,0.4,0.12,17,4,False,False
57,frame_0122.jpg,48.8,0.4899,0.6238,0.3,0.44,15,3,False,False
58,frame_0382.jpg,152.8,0.4894,0.5868,0.6,0.08,18,6,False,False
59,frame_0284.jpg,113.6,0.4862,0.5604,0.5,0.28,9,5,False,False
60,frame_0315.jpg,126.0,0.4859,0.6839,0.4,0.12,17,4,False,False
61,frame_0230.jpg,92.0,0.4846,0.6812,0.4,0.12,19,4,False,False
62,frame_0300.jpg,120.0,0.4834,0.6748,0.3,0.28,12,3,False,False
63,frame_0102.jpg,40.8,0.4798,0.4916,0.7,0.12,14,7,False,False
64,frame_0169.jpg,67.6,0.4763,0.5046,0.4,0.52,15,4,False,False
65,frame_0108.jpg,43.2,0.4741,0.5721,0.6,0.04,16,6,False,False
66,frame_0372.jpg,148.8,0.4723,0.6566,0.4,0.12,18,4,False,False
67,frame_0203.jpg,81.2,0.4705,0.565,0.2,0.64,11,2,False,False
68,frame_0022.jpg,8.8,0.4681,0.5082,0.5,0.32,12,5,False,False
69,frame_0329.jpg,131.6,0.4679,0.6038,0.5,0.08,19,5,False,False
70,frame_0281.jpg,112.4,0.4662,0.5324,0.4,0.4,11,4,False,False
71,frame_0119.jpg,47.6,0.4644,0.4968,0.4,0.48,16,4,False,False
72,frame_0212.jpg,84.8,0.462,0.564,0.2,0.6,13,2,False,False
73,frame_0214.jpg,85.6,0.462,0.5361,0.3,0.52,11,3,False,False
74,frame_0126.jpg,50.4,0.4606,0.5692,0.4,0.28,12,4,False,False
75,frame_0184.jpg,73.6,0.4602,0.6484,0.4,0.08,12,4,False,False
76,frame_0087.jpg,34.8,0.4601,0.5041,0.4,0.44,11,4,False,False
77,frame_0302.jpg,120.8,0.4574,0.6548,0.3,0.2,13,3,False,False
78,frame_0204.jpg,81.6,0.4561,0.5202,0.2,0.68,10,2,False,False
