rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0030.jpg,12.0,0.7822,0.6501,0.8571,1.0,7,6,False,True
2,frame_0005.jpg,2.0,0.7612,0.6939,0.7143,1.0,5,5,False,True
3,frame_0067.jpg,26.8,0.7287,0.7145,0.5714,1.0,7,4,False,True
4,frame_0002.jpg,0.8,0.7239,0.7049,0.5714,1.0,7,4,False,False
5,frame_0367.jpg,146.8,0.7213,0.8963,0.8571,0.08,9,6,False,True
6,frame_0387.jpg,154.8,0.7015,0.8944,0.7143,0.2,11,5,False,True
7,frame_0076.jpg,30.4,0.6856,0.6603,0.5714,0.92,7,4,False,True
8,frame_0069.jpg,27.6,0.6847,0.7979,0.2857,1.0,5,2,False,False
9,frame_0378.jpg,151.2,0.6794,0.7268,1.0,0.08,10,7,False,True
10,frame_0008.jpg,3.2,0.6727,0.7739,0.2857,1.0,3,2,False,False
11,frame_0077.jpg,30.8,0.6702,0.7312,0.4286,0.88,7,3,False,False
12,frame_0291.jpg,116.4,0.6691,0.8308,0.2857,0.84,6,2,False,True
13,frame_0319.jpg,127.6,0.6637,0.7012,0.8571,0.28,9,6,False,True
14,frame_0000.jpg,0.0,0.6602,0.6632,0.4286,1.0,8,3,False,True
15,frame_0307.jpg,122.8,0.6471,0.7,0.8571,0.2,10,6,False,True
16,frame_0306.jpg,122.4,0.6438,0.8488,0.5714,0.24,7,4,False,False
17,frame_0133.jpg,53.2,0.6347,0.6122,0.4286,1.0,6,3,False,True
18,frame_0075.jpg,30.0,0.6336,0.626,0.4286,0.96,6,3,False,False
19,frame_0031.jpg,12.4,0.6319,0.6066,0.4286,1.0,7,3,False,False
20,frame_0328.jpg,131.2,0.6246,0.8743,0.5714,0.08,11,4,False,False
21,frame_0305.jpg,122.0,0.6236,0.7924,0.5714,0.28,5,4,False,False
22,frame_0292.jpg,116.8,0.6222,0.753,0.2857,0.8,7,2,False,False
23,frame_0071.jpg,28.4,0.6149,0.6584,0.2857,1.0,6,2,False,False
24,frame_0028.jpg,11.2,0.6147,0.658,0.2857,1.0,3,2,False,False
25,frame_0388.jpg,155.2,0.6139,0.7352,0.7143,0.16,9,5,False,False
26,frame_0018.jpg,7.2,0.6123,0.5674,0.4286,1.0,5,3,False,False
27,frame_0231.jpg,92.4,0.6113,0.73,0.7143,0.16,8,5,False,False
28,frame_0072.jpg,28.8,0.6085,0.5598,0.4286,1.0,6,3,False,False
29,frame_0209.jpg,83.6,0.6076,0.7557,0.2857,0.72,3,2,False,False
30,frame_0375.jpg,150.0,0.6027,0.7825,0.5714,0.2,8,4,False,False
31,frame_0368.jpg,147.2,0.6025,0.8462,0.5714,0.04,9,4,False,False
32,frame_0033.jpg,13.2,0.6021,0.6327,0.2857,1.0,8,2,False,False
33,frame_0078.jpg,31.2,0.5981,0.603,0.4286,0.84,5,3,False,False
34,frame_0302.jpg,120.8,0.5981,0.6934,0.5714,0.4,6,4,False,False
35,frame_0024.jpg,9.6,0.596,0.792,0.0,1.0,1,0,False,False
36,frame_0169.jpg,67.6,0.5958,0.7265,0.4286,0.52,7,3,False,False
37,frame_0293.jpg,117.2,0.5951,0.6291,0.4286,0.76,4,3,False,False
38,frame_0017.jpg,6.8,0.5927,0.4426,0.5714,1.0,6,4,False,False
39,frame_0379.jpg,151.6,0.5895,0.6488,0.8571,0.04,10,6,False,False
40,frame_0021.jpg,8.4,0.5887,0.606,0.2857,1.0,6,2,False,False
41,frame_0390.jpg,156.0,0.5884,0.8019,0.5714,0.08,8,4,False,False
42,frame_0205.jpg,82.0,0.5804,0.7014,0.2857,0.72,2,2,False,False
43,frame_0073.jpg,29.2,0.5794,0.6731,0.1429,1.0,5,1,False,False
44,frame_0276.jpg,110.4,0.5782,0.7176,0.5714,0.24,8,4,False,False
45,frame_0389.jpg,155.6,0.5771,0.849,0.4286,0.12,10,3,False,False
46,frame_0170.jpg,68.0,0.5758,0.6168,0.5714,0.48,8,4,False,False
